supplier_id,supplier_name,country,contact_email,phone,rating
62,Vertex Industries,USA,sales62@example.com,+1-369-515-3199,3.59
63,Future Technologies,Canada,sales63@example.com,906-342-9944x2794,3.9
64,Global Logistics,China,sales64@example.com,885-552-1847x7831,3.77
65,Global Electronics,India,sales65@example.com,(502)961-2637x3533,4.4
66,Vertex Manufacturing,India,sales66@example.com,792.774.4491x087,3.82
67,Elite Solutions,USA,sales67@example.com,783-312-3627,4.55
68,National Solutions,UK,sales68@example.com,918.734.2429,3.62
69,United Logistics,India,sales69@example.com,237.390.9440x1372,3.65
70,Prime Manufacturing,Canada,sales70@example.com,880.566.0672x2157,3.72
71,Prime Trading,South Korea,sales71@example.com,(578)633-8383x52111,4.01
72,Prime Solutions,South Korea,sales72@example.com,689-710-3031,3.53
73,National Supply,China,sales73@example.com,(721)754-7682,3.58
74,Global Manufacturing,Germany,sales74@example.com,+1-645-666-9975x4177,4.12
75,Elite Solutions,UK,sales75@example.com,862-301-7427x40488,4.1
76,Prime Manufacturing,Italy,sales76@example.com,6693955557,3.86
77,Future Manufacturing,Germany,sales77@example.com,939-232-5928x0029,4.04
78,Vertex Trading,Germany,sales78@example.com,(311)338-2268x98464,4.21
79,National Industries,Canada,sales79@example.com,677-354-7627,4.91
80,Vertex Trading,UK,sales80@example.com,9405958319,4.42
81,Future Logistics,Germany,sales81@example.com,541-889-3437,4.98
82,NextGen Solutions,India,sales82@example.com,(396)929-3803x082,4.27
83,Future Trading,Japan,sales83@example.com,+1-495-572-0149x41046,4.31
84,Global Solutions,Canada,sales84@example.com,269-571-1457x912,3.66
85,Elite Manufacturing,Japan,sales85@example.com,+1-929-779-7735x076,3.84
86,Elite Supply,India,sales86@example.com,(482)586-9151,4.72
87,Advanced Distribution,Japan,sales87@example.com,819-371-5169,4.48
88,Vertex Electronics,Canada,sales88@example.com,5229545798,4.01
89,Vertex Retail,USA,sales89@example.com,(780)624-9105x292,3.91
90,NextGen Retail,South Korea,sales90@example.com,326.776.9895x3917,4.19
91,United Distribution,South Korea,sales91@example.com,+1-960-650-1067x00451,4.24
92,Vertex Solutions,USA,sales92@example.com,+1-215-868-1305,4.45
93,Global Supply,Canada,sales93@example.com,(389)479-9094x377,4.52
94,Vertex Supply,UK,sales94@example.com,001-588-257-8987x38202,4.06
95,Advanced Distribution,France,sales95@example.com,822-561-3913x33309,4.94
96,Vertex Retail,Canada,sales96@example.com,+1-976-745-1527x071,4.98
97,United Logistics,Japan,sales97@example.com,203.927.0494,3.73
98,Dynamic Technologies,Italy,sales98@example.com,(656)932-3744x3720,4.79
99,Advanced Retail,UK,sales99@example.com,746.325.3223,4.97
100,United Technologies,South Korea,sales100@example.com,490-228-0743,3.65
101,Advanced Retail,Canada,sales101@example.com,001-376-360-4318x571,4.26
102,United Distribution,China,sales102@example.com,2306536298,4.82
103,Advanced Solutions,France,sales103@example.com,+1-792-776-4672,4.24
104,Vertex Supply,Italy,sales104@example.com,(582)450-8493x3778,4.02
105,Prime Industries,USA,sales105@example.com,(647)736-4317,4.38
106,Advanced Logistics,France,sales106@example.com,+1-728-633-3844,4.82
107,Prime Trading,India,sales107@example.com,9157927522,4.29
108,National Retail,USA,sales108@example.com,(807)535-7545x469,3.76
109,National Retail,Canada,sales109@example.com,001-536-809-3084x8951,3.95
110,United Trading,France,sales110@example.com,631.853.0031x2505,3.58
111,Elite Technologies,China,sales111@example.com,(350)795-9722x637,4.13
112,NextGen Electronics,South Korea,sales112@example.com,001-528-664-1808,4.02
113,Global Solutions,China,sales113@example.com,720-455-7108x7670,4.52
114,Prime Logistics,USA,sales114@example.com,(467)459-5428x77497,4.05
115,National Retail,India,sales115@example.com,879-527-4175,4.26
116,Future Supply,France,sales116@example.com,614.513.9187,4.73
117,Vertex Electronics,USA,sales117@example.com,001-482-931-6273x35821,3.95
118,Advanced Technologies,UK,sales118@example.com,001-421-833-6637x26527,4.47
119,Elite Electronics,Japan,sales119@example.com,+1-587-537-8389x295,4.89
120,Dynamic Trading,France,sales120@example.com,332-244-0025x9072,4.44
121,Prime Trading,Japan,sales121@example.com,421.352.6432x4568,4.01
122,NextGen Solutions,South Korea,sales122@example.com,001-239-243-0256x06834,4.32
123,National Solutions,Canada,sales123@example.com,(497)994-2681x26919,3.77
124,National Industries,India,sales124@example.com,952.656.2692,4.64
125,National Technologies,France,sales125@example.com,593-349-5083,4.3
126,NextGen Logistics,France,sales126@example.com,(245)391-5732,4.81
127,NextGen Supply,Italy,sales127@example.com,780-996-8981x702,3.84
128,United Technologies,USA,sales128@example.com,3743868452,3.98
129,Vertex Distribution,India,sales129@example.com,2888438665,4.43
130,NextGen Retail,China,sales130@example.com,541.839.8032,3.75
131,Global Retail,UK,sales131@example.com,557-513-8794,4.58
132,Global Solutions,France,sales132@example.com,782.970.8099x46965,4.82
133,Advanced Electronics,France,sales133@example.com,317.237.9551x7317,3.98
134,Dynamic Industries,India,sales134@example.com,883-370-7534,4.55
135,United Electronics,USA,sales135@example.com,(525)845-9471x21880,4.12
136,Dynamic Manufacturing,India,sales136@example.com,338.851.9172x942,4.5
137,National Manufacturing,Japan,sales137@example.com,585-799-7484,4.38
138,NextGen Technologies,South Korea,sales138@example.com,(877)398-7371x1058,3.57
139,Global Technologies,South Korea,sales139@example.com,5285783331,4.71
140,Elite Distribution,USA,sales140@example.com,001-487-410-5739x14719,4.18
141,United Trading,Italy,sales141@example.com,001-568-729-7748x43960,3.59
142,Dynamic Trading,Japan,sales142@example.com,908.963.2041x396,3.8
143,Future Distribution,India,sales143@example.com,(904)246-3853,4.45
144,Prime Distribution,South Korea,sales144@example.com,+1-281-238-4239,3.78
145,Advanced Logistics,Canada,sales145@example.com,(556)366-7883x159,4.73
146,Elite Trading,India,sales146@example.com,366.988.3287,4.87
147,Dynamic Supply,South Korea,sales147@example.com,(469)741-3561,3.51
148,Advanced Solutions,China,sales148@example.com,(920)677-5741x29902,4.52
149,United Retail,USA,sales149@example.com,526-530-7119x6824,4.95
150,Vertex Logistics,Italy,sales150@example.com,5994478788,3.56
151,Prime Logistics,South Korea,sales151@example.com,+1-927-480-4892x96307,4.19
152,NextGen Trading,South Korea,sales152@example.com,2296698211,4.4
153,United Supply,Italy,sales153@example.com,537.317.0739x1966,4.16
154,Prime Manufacturing,Japan,sales154@example.com,+1-403-904-9458,4.19
155,Advanced Electronics,UK,sales155@example.com,(479)311-2001x045,4.47
156,Future Logistics,Germany,sales156@example.com,(290)656-4908,4.01
157,Prime Distribution,China,sales157@example.com,(800)768-9470,3.76
158,United Logistics,France,sales158@example.com,(957)476-6541,3.8
159,United Electronics,India,sales159@example.com,842.863.6090x860,4.52
160,United Industries,South Korea,sales160@example.com,+1-649-216-6204,4.07
161,United Trading,South Korea,sales161@example.com,+1-823-202-5881x855,4.31
162,Global Trading,France,sales162@example.com,828.723.7367,4.9
163,Elite Logistics,Japan,sales163@example.com,+1-583-873-6516x335,4.98
164,National Technologies,Canada,sales164@example.com,+1-833-247-5408x8754,3.73
165,United Industries,India,sales165@example.com,(276)808-0289x67169,4.05
166,Future Solutions,Germany,sales166@example.com,3769137723,4.21
167,Future Logistics,Japan,sales167@example.com,626.929.7504,4.93
168,National Technologies,USA,sales168@example.com,7903322763,3.59
169,Vertex Supply,India,sales169@example.com,(413)662-0184x14401,3.94
170,NextGen Industries,Italy,sales170@example.com,001-263-975-0183x168,4.32
171,Elite Electronics,UK,sales171@example.com,850.582.7041,4.54
172,Dynamic Solutions,Canada,sales172@example.com,(309)662-4790x99875,4.67
173,NextGen Manufacturing,Italy,sales173@example.com,520.291.0213,4.7
174,Prime Supply,France,sales174@example.com,803.710.5052,3.93
175,Elite Technologies,France,sales175@example.com,436.771.3527,4.94
176,Vertex Manufacturing,Germany,sales176@example.com,(638)522-9734x7217,4.42
177,Vertex Trading,UK,sales177@example.com,001-888-635-2249x51796,3.51
178,Vertex Technologies,India,sales178@example.com,(296)619-7134,4.19
179,Vertex Retail,China,sales179@example.com,+1-760-800-7977x064,4.65
180,Future Technologies,UK,sales180@example.com,200.386.8696,4.98
181,Vertex Retail,Germany,sales181@example.com,219.414.0649x138,4.3
182,Global Solutions,Canada,sales182@example.com,001-880-429-5947x4940,4.21
183,Advanced Electronics,USA,sales183@example.com,507-827-5683x97146,4.79
184,Prime Manufacturing,UK,sales184@example.com,784.362.5508x4220,3.88
185,Future Logistics,UK,sales185@example.com,5196964980,3.55
186,National Manufacturing,Japan,sales186@example.com,(886)971-3871,4.72
187,Global Manufacturing,Japan,sales187@example.com,333-824-2091x547,4.86
188,Future Retail,Germany,sales188@example.com,998.810.9885x61454,4.86
189,National Industries,China,sales189@example.com,798.345.4517x952,3.85
190,Advanced Solutions,Italy,sales190@example.com,350.540.8278x03041,4.45
191,Prime Manufacturing,USA,sales191@example.com,(728)562-9243,4.87
192,United Retail,France,sales192@example.com,858-839-8528x07288,3.5
193,United Supply,South Korea,sales193@example.com,(788)863-7527x184,4.39
194,Future Distribution,Germany,sales194@example.com,(518)676-1425,4.63
195,National Industries,Japan,sales195@example.com,644.205.7412,4.27
196,National Supply,Germany,sales196@example.com,232-586-0582,4.34
197,Vertex Solutions,India,sales197@example.com,(909)771-3031x342,3.89
198,Vertex Industries,France,sales198@example.com,451.660.7956x13969,4.09
199,Elite Manufacturing,France,sales199@example.com,672.361.7145,4.77
200,NextGen Electronics,USA,sales200@example.com,(743)360-8730x02005,4.28
201,Dynamic Retail,Italy,sales201@example.com,(586)430-1049x3218,4.07
202,NextGen Industries,Italy,sales202@example.com,(442)212-5663,4.38
203,Dynamic Manufacturing,Japan,sales203@example.com,(585)928-6908x4427,3.55
204,Future Solutions,USA,sales204@example.com,966.972.1124x8443,4.23
205,Elite Industries,India,sales205@example.com,668-437-4951x31748,4.91
206,Future Solutions,China,sales206@example.com,267-760-2009x53688,4.02
207,Advanced Solutions,France,sales207@example.com,(970)366-1616x934,4.05
208,NextGen Industries,Canada,sales208@example.com,9643419424,3.82
209,Global Electronics,China,sales209@example.com,(479)607-4511,4.87
210,Dynamic Industries,France,sales210@example.com,289-403-5383,4.83
211,Vertex Distribution,Germany,sales211@example.com,585-595-5867,4.89
212,Prime Logistics,South Korea,sales212@example.com,8265907063,4.42
213,Advanced Supply,South Korea,sales213@example.com,+1-347-352-8742,3.9
214,United Distribution,Canada,sales214@example.com,704.320.9698,4.66
215,Future Electronics,India,sales215@example.com,522-775-2884,4.37
216,Future Retail,Italy,sales216@example.com,+1-595-249-2084x961,4.96
217,National Electronics,Canada,sales217@example.com,605-608-6092,4.7
218,Global Solutions,Japan,sales218@example.com,893.836.0532x3125,4.59
219,Dynamic Electronics,Germany,sales219@example.com,(703)727-4712,4.73
220,Future Industries,China,sales220@example.com,516-647-4828x1471,4.85
221,Advanced Trading,USA,sales221@example.com,204-346-2442x246,3.75
222,Dynamic Trading,India,sales222@example.com,+1-350-562-1237x59873,4.55
223,Future Industries,France,sales223@example.com,+1-201-342-3800,4.02
224,Future Solutions,Japan,sales224@example.com,414.645.9523x46816,4.19
225,National Electronics,France,sales225@example.com,+1-636-260-4093x02193,3.85
226,Prime Trading,Italy,sales226@example.com,(302)910-4595x43941,4.6
227,Elite Supply,China,sales227@example.com,(379)937-6044x590,4.3
228,Future Industries,China,sales228@example.com,227.982.9849x4759,3.88
229,Prime Solutions,Germany,sales229@example.com,(366)406-6672x812,4.27
230,Future Solutions,Canada,sales230@example.com,480.428.3428,3.96
231,Advanced Industries,Japan,sales231@example.com,+1-783-853-9264,4.42
232,National Industries,India,sales232@example.com,483.560.3592x610,4.07
233,Elite Electronics,UK,sales233@example.com,001-826-712-7201x260,3.96
234,Future Technologies,Canada,sales234@example.com,(576)354-1791x1286,4.9
235,National Technologies,South Korea,sales235@example.com,001-694-431-7908x4597,3.86
236,Advanced Electronics,Italy,sales236@example.com,398.930.4051x7898,4.78
237,Global Distribution,India,sales237@example.com,817.809.0369x0305,4.07
238,NextGen Electronics,Canada,sales238@example.com,374-371-4406,4.52
239,Future Distribution,UK,sales239@example.com,(713)946-8086x9446,4.35
240,United Supply,USA,sales240@example.com,+1-208-690-8890x47054,4.74
241,Vertex Logistics,Canada,sales241@example.com,001-611-983-9907x77455,3.61
242,Dynamic Manufacturing,Germany,sales242@example.com,(855)433-1315,4.66
243,Dynamic Trading,France,sales243@example.com,(264)951-3254x9345,4.87
244,Advanced Electronics,China,sales244@example.com,388.312.1847x462,3.83
245,Future Retail,South Korea,sales245@example.com,001-525-435-4534x58710,4.15
246,NextGen Supply,China,sales246@example.com,001-507-358-1987x70737,4.84
247,United Electronics,South Korea,sales247@example.com,968-213-1048x15690,4.74
248,National Solutions,India,sales248@example.com,(694)457-4770x99184,3.74
249,Vertex Retail,UK,sales249@example.com,(568)696-5575,4.3
250,Dynamic Solutions,South Korea,sales250@example.com,513-604-3592x052,3.54
251,Advanced Solutions,Canada,sales251@example.com,668.830.3757,5.0
252,NextGen Electronics,USA,sales252@example.com,(539)699-0118x5180,3.69
253,Advanced Distribution,Japan,sales253@example.com,717.775.9743x530,4.29
254,NextGen Retail,USA,sales254@example.com,+1-707-531-2627x922,4.03
255,Elite Solutions,China,sales255@example.com,001-704-357-4420x157,4.49
256,Dynamic Trading,South Korea,sales256@example.com,(619)801-2396x323,3.87
257,Dynamic Trading,Japan,sales257@example.com,001-208-450-9814x7779,4.12
258,United Industries,Germany,sales258@example.com,714.878.9047,4.19
259,Advanced Distribution,India,sales259@example.com,973.701.6198,3.93
260,Advanced Solutions,UK,sales260@example.com,873.779.2177x123,4.78
261,National Trading,Japan,sales261@example.com,001-752-863-0937x809,4.46
262,Future Technologies,India,sales262@example.com,+1-817-779-7388x2340,4.02
263,National Technologies,USA,sales263@example.com,687.958.0359x675,3.7
264,Advanced Electronics,South Korea,sales264@example.com,468-729-7552x1370,4.64
265,Global Trading,France,sales265@example.com,(697)915-2061,3.97
266,Global Technologies,France,sales266@example.com,001-454-850-6685x42742,4.16
267,National Logistics,France,sales267@example.com,(830)282-0770,4.32
268,Advanced Logistics,Canada,sales268@example.com,001-592-578-9901x7417,3.94
269,Prime Manufacturing,USA,sales269@example.com,812.979.5198x1868,4.49
270,Prime Distribution,USA,sales270@example.com,(821)865-7603x509,4.68
271,Dynamic Technologies,South Korea,sales271@example.com,686-620-7834,4.18
272,NextGen Industries,USA,sales272@example.com,+1-572-894-8947x44914,4.96
273,National Supply,China,sales273@example.com,698-714-6024x66000,3.74
274,United Electronics,Japan,sales274@example.com,+1-682-683-0905x5508,3.87
275,Elite Technologies,UK,sales275@example.com,(388)981-2887,4.95
276,Advanced Technologies,South Korea,sales276@example.com,981-763-2277x117,4.8
277,NextGen Logistics,Germany,sales277@example.com,862-322-3059x228,4.44
278,Vertex Logistics,China,sales278@example.com,7388295892,4.41
279,NextGen Distribution,USA,sales279@example.com,001-691-694-2698x1008,3.78
280,NextGen Electronics,China,sales280@example.com,001-414-541-6489x0505,4.05
281,Future Electronics,China,sales281@example.com,437.704.8725,4.19
282,Elite Technologies,UK,sales282@example.com,3934181910,3.86
283,National Industries,India,sales283@example.com,384.241.8556x9777,4.32
284,National Solutions,China,sales284@example.com,001-570-770-1719x892,4.93
285,Global Logistics,Italy,sales285@example.com,(829)945-1587,4.47
286,Prime Manufacturing,Germany,sales286@example.com,2355600055,4.96
287,Global Trading,China,sales287@example.com,+1-448-779-8537,4.71
288,Dynamic Solutions,India,sales288@example.com,(490)675-6839,3.56
289,Dynamic Trading,USA,sales289@example.com,+1-353-370-1105x19104,4.75
290,Advanced Manufacturing,France,sales290@example.com,(689)981-6746x101,3.51
291,United Industries,China,sales291@example.com,8557650905,4.03
292,Advanced Logistics,China,sales292@example.com,(334)976-8947,4.81
293,Advanced Manufacturing,Italy,sales293@example.com,795.927.0991,4.69
294,Advanced Solutions,France,sales294@example.com,(484)938-3255x39587,3.95
295,Vertex Manufacturing,France,sales295@example.com,535-497-0960x87169,4.7
296,Vertex Technologies,France,sales296@example.com,321-909-2381x338,3.97
297,Elite Technologies,Canada,sales297@example.com,(618)418-5161x975,4.58
298,Future Logistics,UK,sales298@example.com,001-487-816-5427x7076,4.79
299,Global Industries,India,sales299@example.com,596.710.6780x751,4.08
300,Global Logistics,Italy,sales300@example.com,855-572-9667x42219,3.69
301,Dynamic Industries,India,sales301@example.com,2025167851,4.94
302,Vertex Manufacturing,Germany,sales302@example.com,980.749.8991x21432,4.32
303,Elite Industries,India,sales303@example.com,363.799.1325x88701,4.45
304,Elite Solutions,India,sales304@example.com,218-803-6190x497,3.63
305,NextGen Industries,UK,sales305@example.com,908.763.0027,3.91
306,Global Industries,UK,sales306@example.com,498-287-6508x8988,4.36
307,National Solutions,UK,sales307@example.com,5615286349,3.53
308,Prime Retail,South Korea,sales308@example.com,+1-825-453-1857,4.23
309,United Trading,USA,sales309@example.com,(488)967-9515,3.9
310,Vertex Supply,France,sales310@example.com,454.872.6803x940,4.05
311,Vertex Manufacturing,USA,sales311@example.com,5253939793,4.58
312,NextGen Distribution,Japan,sales312@example.com,528.286.8551x537,4.28
313,NextGen Distribution,South Korea,sales313@example.com,226.569.1343x90697,4.49
314,Vertex Electronics,India,sales314@example.com,+1-623-227-2771,4.8
315,National Trading,Canada,sales315@example.com,206.304.5559x4859,3.56
316,Global Retail,Germany,sales316@example.com,9579021312,4.48
317,Elite Technologies,Japan,sales317@example.com,883-731-2684,4.05
318,Future Retail,South Korea,sales318@example.com,367-206-7366x84361,4.34
319,Elite Supply,South Korea,sales319@example.com,+1-462-382-6173,4.44
320,Future Solutions,Japan,sales320@example.com,(656)249-5844x438,4.53
321,Advanced Trading,USA,sales321@example.com,+1-887-280-2400,4.15
322,Global Supply,France,sales322@example.com,001-477-759-1608x497,4.84
323,Elite Supply,UK,sales323@example.com,669.401.7329x8798,4.33
324,NextGen Distribution,South Korea,sales324@example.com,483.311.3400,4.01
325,Elite Manufacturing,UK,sales325@example.com,389.606.2977x270,4.64
326,Future Supply,Canada,sales326@example.com,+1-673-274-8360,3.69
327,NextGen Solutions,India,sales327@example.com,412.827.1997,4.94
328,Future Manufacturing,India,sales328@example.com,(984)726-2959x390,3.98
329,National Technologies,China,sales329@example.com,3407643323,4.31
330,Future Supply,France,sales330@example.com,964-388-6085x3650,4.58
331,Elite Manufacturing,Canada,sales331@example.com,001-267-223-9381x7865,3.73
332,Advanced Logistics,China,sales332@example.com,001-468-470-1494x33162,3.66
333,United Supply,South Korea,sales333@example.com,2593220894,4.93
334,Global Retail,Japan,sales334@example.com,947.735.6264,4.87
335,NextGen Logistics,USA,sales335@example.com,818-788-9284,3.58
336,Advanced Manufacturing,UK,sales336@example.com,+1-525-558-7026x004,4.01
337,Elite Trading,India,sales337@example.com,001-972-207-2810x52267,4.08
338,Global Solutions,Italy,sales338@example.com,+1-762-703-0810,4.46
339,Future Electronics,China,sales339@example.com,601.706.2980x95392,4.23
340,Dynamic Retail,Japan,sales340@example.com,+1-437-537-3323x742,3.97
341,United Industries,Japan,sales341@example.com,307.577.2563x668,3.55
342,Elite Industries,Japan,sales342@example.com,695-721-4013x834,4.14
343,Dynamic Logistics,South Korea,sales343@example.com,(361)414-9504,3.66
344,Global Supply,South Korea,sales344@example.com,242.852.0833x2411,3.63
345,Global Manufacturing,Italy,sales345@example.com,(848)208-7671x7203,3.61
346,National Electronics,Italy,sales346@example.com,308.861.5864x1352,4.73
347,Elite Retail,India,sales347@example.com,001-301-387-0559,4.19
348,NextGen Trading,Germany,sales348@example.com,(244)759-9144x257,4.1
349,Elite Trading,China,sales349@example.com,+1-280-676-3768,4.49
350,NextGen Retail,South Korea,sales350@example.com,(213)841-8353,4.67
351,Vertex Industries,China,sales351@example.com,316.705.6307x3496,3.88
352,NextGen Distribution,USA,sales352@example.com,754-937-7052,4.35
353,Vertex Supply,China,sales353@example.com,420.924.6820x4807,3.73
354,United Retail,Italy,sales354@example.com,+1-916-566-7548x23485,4.97
355,Future Industries,Japan,sales355@example.com,296.573.7259x9594,4.16
356,NextGen Logistics,India,sales356@example.com,419.959.5194x6765,4.39
357,United Logistics,UK,sales357@example.com,797.437.4590x41392,4.23
358,National Retail,France,sales358@example.com,311.650.5304x3522,3.93
359,Vertex Trading,USA,sales359@example.com,458-799-2064,4.2
360,Vertex Industries,India,sales360@example.com,260-775-6767,3.63
361,Elite Solutions,South Korea,sales361@example.com,546.230.0949,3.92
362,NextGen Trading,China,sales362@example.com,270-287-0002,4.47
363,Vertex Retail,Italy,sales363@example.com,(622)326-6129,4.06
364,NextGen Industries,Canada,sales364@example.com,806.365.4731x19200,4.25
365,Dynamic Logistics,Italy,sales365@example.com,719-751-4313,3.82
366,Future Supply,China,sales366@example.com,310-537-4120x660,3.81
367,Future Solutions,Germany,sales367@example.com,616-630-1955,4.18
368,Vertex Manufacturing,South Korea,sales368@example.com,+1-999-795-0045x693,3.61
369,Prime Logistics,France,sales369@example.com,227.851.6039x7469,4.14
370,United Retail,UK,sales370@example.com,209.695.3707x60662,4.13
371,National Electronics,India,sales371@example.com,556.966.1431,3.99
372,Dynamic Manufacturing,Japan,sales372@example.com,459-541-7429x7971,4.36
373,NextGen Distribution,France,sales373@example.com,+1-352-670-9990,4.28
374,National Technologies,Italy,sales374@example.com,267.878.3515x1478,4.37
375,Prime Electronics,Germany,sales375@example.com,299.797.6445x296,4.71
376,National Manufacturing,UK,sales376@example.com,844.277.8746,3.59
377,Global Industries,France,sales377@example.com,(622)264-3373x232,3.51
378,United Solutions,Italy,sales378@example.com,671-861-7162x822,4.73
379,NextGen Technologies,France,sales379@example.com,850.299.7262x461,3.73
380,Dynamic Trading,Italy,sales380@example.com,2492433859,4.31
381,Advanced Technologies,UK,sales381@example.com,001-942-948-5233,4.56
382,Prime Retail,South Korea,sales382@example.com,960-509-3132x62635,3.95
383,National Solutions,India,sales383@example.com,001-544-751-1886x12872,4.8
384,Prime Logistics,Germany,sales384@example.com,+1-253-790-5109x24726,3.68
385,National Trading,Germany,sales385@example.com,352-364-1084x1379,4.37
386,NextGen Manufacturing,China,sales386@example.com,+1-245-798-9560x01717,3.51
387,National Industries,UK,sales387@example.com,(479)937-9473x0900,4.55
388,Prime Retail,UK,sales388@example.com,+1-641-615-9277x975,4.16
389,National Retail,UK,sales389@example.com,001-997-481-5694x3821,3.96
390,Global Logistics,UK,sales390@example.com,911-836-7054x2876,3.83
391,Dynamic Logistics,Canada,sales391@example.com,255-476-2043,4.59
392,United Manufacturing,South Korea,sales392@example.com,+1-755-415-2971x8389,3.69
393,United Logistics,China,sales393@example.com,9149734938,4.04
394,Prime Retail,Germany,sales394@example.com,001-579-428-3731x349,4.1
395,Elite Trading,France,sales395@example.com,681-350-7292x9579,3.56
396,National Technologies,France,sales396@example.com,754.432.3434x8731,3.63
397,Prime Manufacturing,China,sales397@example.com,460.579.3368x57619,4.06
398,NextGen Electronics,Japan,sales398@example.com,626.923.2691,3.78
399,Global Industries,India,sales399@example.com,(660)553-6594x73362,4.45
400,Future Retail,South Korea,sales400@example.com,001-630-362-7674x819,4.3
401,Elite Distribution,UK,sales401@example.com,846-922-8878x3578,3.98
402,United Supply,Canada,sales402@example.com,6192441729,4.66
403,National Industries,Canada,sales403@example.com,+1-836-370-5218x37841,4.07
404,Elite Electronics,UK,sales404@example.com,995.256.4168x5779,4.96
405,United Industries,France,sales405@example.com,4162249418,3.74
406,Elite Solutions,Italy,sales406@example.com,+1-723-707-1024,3.59
407,United Retail,Japan,sales407@example.com,352-593-1346x39131,4.02
408,National Supply,China,sales408@example.com,001-762-957-2663,3.94
