product_id,product_name,brand,category,subcategory,description,price,cost,color,weight_kg,rating,supplier_id
26,Manning Programming 4715,Manning,Books,Programming,Manning Programming designed for high performance and everyday use. Premium quality with modern features.,1590.71,1166.78,Red,15.71,4.1,1782
27,KitchenAid Kitchen 2985,KitchenAid,Home,Kitchen,KitchenAid Kitchen designed for high performance and everyday use. Premium quality with modern features.,171.44,1550.2,White,4.01,3.8,1962
28,Manning Programming 2635,Manning,Books,Programming,Manning Programming designed for high performance and everyday use. Premium quality with modern features.,1494.6,199.5,Black,0.96,4.7,639
29,Ashley Furniture 2124,Ashley,Home,Furniture,Ashley Furniture designed for high performance and everyday use. Premium quality with modern features.,2275.01,1747.85,Blue,4.11,3.9,241
30,Puma Shoes 1612,Puma,Fashion,Shoes,Puma Shoes designed for high performance and everyday use. Premium quality with modern features.,29.28,1186.78,White,16.11,4.2,551
31,Under Armour Fitness 7111,Under Armour,Sports,Fitness,Under Armour Fitness designed for high performance and everyday use. Premium quality with modern features.,815.61,1536.06,Gray,15.06,3.9,1863
32,Nike Fitness 1032,Nike,Sports,Fitness,Nike Fitness designed for high performance and everyday use. Premium quality with modern features.,794.48,713.03,Blue,0.38,4.5,1916
33,HP Laptop 1878,HP,Electronics,Laptop,HP Laptop designed for high performance and everyday use. Premium quality with modern features.,821.46,39.04,Silver,18.15,3.8,1311
34,Levi's Clothing 7035,Levi's,Fashion,Clothing,Levi's Clothing designed for high performance and everyday use. Premium quality with modern features.,634.27,1216.34,Blue,5.75,4.0,1426
35,Philips Kitchen 4876,Philips,Home,Kitchen,Philips Kitchen designed for high performance and everyday use. Premium quality with modern features.,1726.73,1501.83,White,19.0,3.7,489
36,Packt Programming 5417,Packt,Books,Programming,Packt Programming designed for high performance and everyday use. Premium quality with modern features.,1398.2,1171.27,White,0.81,3.7,1715
37,Adidas Fitness 3603,Adidas,Sports,Fitness,Adidas Fitness designed for high performance and everyday use. Premium quality with modern features.,192.72,1254.24,Black,2.75,3.6,712
38,Steelcase Furniture 172,Steelcase,Home,Furniture,Steelcase Furniture designed for high performance and everyday use. Premium quality with modern features.,2106.81,1405.38,Silver,7.44,4.0,436
39,O'Reilly Programming 9085,O'Reilly,Books,Programming,O'Reilly Programming designed for high performance and everyday use. Premium quality with modern features.,1013.83,496.49,Blue,14.51,5.0,1546
40,Ashley Furniture 6665,Ashley,Home,Furniture,Ashley Furniture designed for high performance and everyday use. Premium quality with modern features.,1667.12,163.27,Black,13.89,4.5,92
41,Adidas Fitness 1306,Adidas,Sports,Fitness,Adidas Fitness designed for high performance and everyday use. Premium quality with modern features.,366.99,1379.85,Black,9.63,4.7,22
42,Levi's Clothing 3131,Levi's,Fashion,Clothing,Levi's Clothing designed for high performance and everyday use. Premium quality with modern features.,1455.27,1650.74,White,2.66,4.0,1008
43,Under Armour Fitness 7012,Under Armour,Sports,Fitness,Under Armour Fitness designed for high performance and everyday use. Premium quality with modern features.,2476.88,1264.17,Gray,6.92,4.0,236
44,Apple Laptop 1932,Apple,Electronics,Laptop,Apple Laptop designed for high performance and everyday use. Premium quality with modern features.,662.18,1139.38,White,17.97,4.6,18
45,KitchenAid Kitchen 4975,KitchenAid,Home,Kitchen,KitchenAid Kitchen designed for high performance and everyday use. Premium quality with modern features.,582.28,40.34,Black,8.15,4.6,1311
46,IKEA Furniture 3791,IKEA,Home,Furniture,IKEA Furniture designed for high performance and everyday use. Premium quality with modern features.,1142.32,1455.61,Silver,7.26,4.4,211
47,Nike Shoes 7360,Nike,Fashion,Shoes,Nike Shoes designed for high performance and everyday use. Premium quality with modern features.,452.68,1346.88,Red,9.63,4.1,1858
48,Adidas Fitness 8223,Adidas,Sports,Fitness,Adidas Fitness designed for high performance and everyday use. Premium quality with modern features.,1122.96,1001.74,Red,8.36,4.7,1881
49,Under Armour Fitness 9058,Under Armour,Sports,Fitness,Under Armour Fitness designed for high performance and everyday use. Premium quality with modern features.,2225.48,1041.2,Red,11.19,4.6,1919
50,Nike Fitness 1880,Nike,Sports,Fitness,Nike Fitness designed for high performance and everyday use. Premium quality with modern features.,1220.96,1474.74,Blue,6.51,4.2,831
51,H&M Clothing 8939,H&M,Fashion,Clothing,H&M Clothing designed for high performance and everyday use. Premium quality with modern features.,1364.6,1420.48,Silver,2.72,4.0,871
52,Bose Headphones 8029,Bose,Electronics,Headphones,Bose Headphones designed for high performance and everyday use. Premium quality with modern features.,838.45,795.97,Silver,9.83,4.1,1522
53,Adidas Fitness 1446,Adidas,Sports,Fitness,Adidas Fitness designed for high performance and everyday use. Premium quality with modern features.,62.18,1583.37,Red,17.48,3.6,1190
54,Adidas Fitness 5701,Adidas,Sports,Fitness,Adidas Fitness designed for high performance and everyday use. Premium quality with modern features.,1044.98,1714.8,Black,11.56,4.3,1304
55,KitchenAid Kitchen 9601,KitchenAid,Home,Kitchen,KitchenAid Kitchen designed for high performance and everyday use. Premium quality with modern features.,1480.24,1701.85,Gray,11.04,4.5,593
56,Bose Headphones 5212,Bose,Electronics,Headphones,Bose Headphones designed for high performance and everyday use. Premium quality with modern features.,1839.71,1314.27,Blue,17.54,4.8,1553
57,KitchenAid Kitchen 5432,KitchenAid,Home,Kitchen,KitchenAid Kitchen designed for high performance and everyday use. Premium quality with modern features.,1782.21,360.9,White,17.52,4.0,1753
58,Ashley Furniture 844,Ashley,Home,Furniture,Ashley Furniture designed for high performance and everyday use. Premium quality with modern features.,231.99,708.31,Red,12.37,4.2,796
59,Adidas Fitness 1194,Adidas,Sports,Fitness,Adidas Fitness designed for high performance and everyday use. Premium quality with modern features.,1860.84,373.05,Black,5.84,4.1,1165
60,Zara Clothing 1278,Zara,Fashion,Clothing,Zara Clothing designed for high performance and everyday use. Premium quality with modern features.,857.34,1021.6,Blue,16.57,3.8,1504
61,Steelcase Furniture 7888,Steelcase,Home,Furniture,Steelcase Furniture designed for high performance and everyday use. Premium quality with modern features.,768.89,640.54,Blue,2.67,4.0,1616
62,Under Armour Fitness 5918,Under Armour,Sports,Fitness,Under Armour Fitness designed for high performance and everyday use. Premium quality with modern features.,1622.45,640.54,White,8.19,4.8,217
63,Zara Clothing 9663,Zara,Fashion,Clothing,Zara Clothing designed for high performance and everyday use. Premium quality with modern features.,715.38,318.17,Red,4.73,3.8,1289
64,Bosch Kitchen 5273,Bosch,Home,Kitchen,Bosch Kitchen designed for high performance and everyday use. Premium quality with modern features.,2135.65,1398.93,Black,16.85,4.3,1701
65,Levi's Clothing 1619,Levi's,Fashion,Clothing,Levi's Clothing designed for high performance and everyday use. Premium quality with modern features.,293.09,457.06,Red,18.65,3.5,430
66,Apple Phone 5173,Apple,Electronics,Phone,Apple Phone designed for high performance and everyday use. Premium quality with modern features.,1239.03,898.05,Black,12.86,4.2,1341
67,Bose Headphones 1458,Bose,Electronics,Headphones,Bose Headphones designed for high performance and everyday use. Premium quality with modern features.,2095.94,217.68,White,4.51,4.3,893
68,Bosch Kitchen 6613,Bosch,Home,Kitchen,Bosch Kitchen designed for high performance and everyday use. Premium quality with modern features.,472.13,1057.33,Silver,10.6,3.9,1639
69,Adidas Fitness 1553,Adidas,Sports,Fitness,Adidas Fitness designed for high performance and everyday use. Premium quality with modern features.,1339.17,1454.36,White,4.01,3.7,949
70,Manning Programming 557,Manning,Books,Programming,Manning Programming designed for high performance and everyday use. Premium quality with modern features.,1058.66,67.66,Blue,4.57,4.8,1611
71,Ashley Furniture 1386,Ashley,Home,Furniture,Ashley Furniture designed for high performance and everyday use. Premium quality with modern features.,691.02,251.19,Black,7.99,4.4,503
72,KitchenAid Kitchen 2549,KitchenAid,Home,Kitchen,KitchenAid Kitchen designed for high performance and everyday use. Premium quality with modern features.,259.01,207.6,Blue,2.78,4.5,1274
73,Levi's Clothing 7965,Levi's,Fashion,Clothing,Levi's Clothing designed for high performance and everyday use. Premium quality with modern features.,2362.06,1500.09,Red,16.63,3.7,1556
74,OnePlus Phone 264,OnePlus,Electronics,Phone,OnePlus Phone designed for high performance and everyday use. Premium quality with modern features.,1135.64,480.55,Red,12.29,4.9,861
75,Packt Programming 1341,Packt,Books,Programming,Packt Programming designed for high performance and everyday use. Premium quality with modern features.,2376.85,1730.31,Black,11.66,4.2,994
76,Under Armour Fitness 2798,Under Armour,Sports,Fitness,Under Armour Fitness designed for high performance and everyday use. Premium quality with modern features.,2422.31,187.16,Red,12.53,4.6,1028
77,Bosch Kitchen 7890,Bosch,Home,Kitchen,Bosch Kitchen designed for high performance and everyday use. Premium quality with modern features.,1943.27,1081.04,Red,17.72,4.5,1614
78,Bosch Kitchen 8678,Bosch,Home,Kitchen,Bosch Kitchen designed for high performance and everyday use. Premium quality with modern features.,217.26,127.86,Black,5.36,4.8,359
79,IKEA Furniture 6903,IKEA,Home,Furniture,IKEA Furniture designed for high performance and everyday use. Premium quality with modern features.,1473.32,941.7,Gray,2.74,4.8,172
80,Samsung Monitor 7305,Samsung,Electronics,Monitor,Samsung Monitor designed for high performance and everyday use. Premium quality with modern features.,994.8,1152.76,Black,15.14,4.7,1041
81,Puma Shoes 7338,Puma,Fashion,Shoes,Puma Shoes designed for high performance and everyday use. Premium quality with modern features.,910.56,695.05,White,9.01,4.4,444
82,Steelcase Furniture 6804,Steelcase,Home,Furniture,Steelcase Furniture designed for high performance and everyday use. Premium quality with modern features.,2435.1,316.62,Red,7.46,4.9,1047
83,Packt Programming 3775,Packt,Books,Programming,Packt Programming designed for high performance and everyday use. Premium quality with modern features.,809.94,496.75,Blue,19.64,4.2,889
84,JBL Headphones 7848,JBL,Electronics,Headphones,JBL Headphones designed for high performance and everyday use. Premium quality with modern features.,609.52,209.06,Silver,4.98,3.8,536
85,Puma Shoes 151,Puma,Fashion,Shoes,Puma Shoes designed for high performance and everyday use. Premium quality with modern features.,2445.74,655.41,Red,8.13,4.2,2
86,Philips Kitchen 2158,Philips,Home,Kitchen,Philips Kitchen designed for high performance and everyday use. Premium quality with modern features.,701.42,850.08,Black,17.13,4.0,616
87,Packt Programming 890,Packt,Books,Programming,Packt Programming designed for high performance and everyday use. Premium quality with modern features.,2182.8,791.66,Gray,1.91,4.9,400
88,JBL Headphones 7133,JBL,Electronics,Headphones,JBL Headphones designed for high performance and everyday use. Premium quality with modern features.,1760.77,536.28,Blue,3.91,5.0,120
89,Ashley Furniture 1311,Ashley,Home,Furniture,Ashley Furniture designed for high performance and everyday use. Premium quality with modern features.,704.21,165.4,White,15.43,3.7,1471
90,Zara Clothing 7534,Zara,Fashion,Clothing,Zara Clothing designed for high performance and everyday use. Premium quality with modern features.,1496.07,1551.78,Red,12.02,4.8,1452
91,Packt Programming 1586,Packt,Books,Programming,Packt Programming designed for high performance and everyday use. Premium quality with modern features.,753.28,443.62,Gray,3.07,4.3,369
92,Adidas Shoes 6781,Adidas,Fashion,Shoes,Adidas Shoes designed for high performance and everyday use. Premium quality with modern features.,1852.91,1392.33,Blue,16.36,3.7,1027
93,Bose Headphones 910,Bose,Electronics,Headphones,Bose Headphones designed for high performance and everyday use. Premium quality with modern features.,378.15,463.03,Gray,9.59,4.8,1140
94,Manning Programming 2994,Manning,Books,Programming,Manning Programming designed for high performance and everyday use. Premium quality with modern features.,2275.94,1743.94,Gray,14.97,4.2,1711
95,Zara Clothing 7447,Zara,Fashion,Clothing,Zara Clothing designed for high performance and everyday use. Premium quality with modern features.,2333.18,1671.92,Blue,13.31,4.2,69
96,Adidas Shoes 6017,Adidas,Fashion,Shoes,Adidas Shoes designed for high performance and everyday use. Premium quality with modern features.,933.72,121.43,Gray,13.88,3.6,1819
97,Sony Headphones 975,Sony,Electronics,Headphones,Sony Headphones designed for high performance and everyday use. Premium quality with modern features.,2309.66,204.48,Red,14.89,4.7,50
98,Levi's Clothing 4632,Levi's,Fashion,Clothing,Levi's Clothing designed for high performance and everyday use. Premium quality with modern features.,2496.52,1018.22,Silver,9.78,4.6,262
99,O'Reilly Programming 8921,O'Reilly,Books,Programming,O'Reilly Programming designed for high performance and everyday use. Premium quality with modern features.,187.84,615.08,Gray,2.26,3.9,78
100,Samsung Monitor 3159,Samsung,Electronics,Monitor,Samsung Monitor designed for high performance and everyday use. Premium quality with modern features.,1787.43,395.01,Blue,9.23,4.7,888
101,Under Armour Fitness 5058,Under Armour,Sports,Fitness,Under Armour Fitness designed for high performance and everyday use. Premium quality with modern features.,95.57,1234.48,Silver,6.52,4.9,1081
102,Adidas Fitness 2919,Adidas,Sports,Fitness,Adidas Fitness designed for high performance and everyday use. Premium quality with modern features.,1877.91,1572.79,Blue,11.3,3.6,476
103,Ashley Furniture 3159,Ashley,Home,Furniture,Ashley Furniture designed for high performance and everyday use. Premium quality with modern features.,28.92,644.52,Blue,13.14,3.7,1648
104,O'Reilly Programming 1151,O'Reilly,Books,Programming,O'Reilly Programming designed for high performance and everyday use. Premium quality with modern features.,1955.82,681.87,Gray,4.26,4.7,687
105,Manning Programming 2067,Manning,Books,Programming,Manning Programming designed for high performance and everyday use. Premium quality with modern features.,1711.33,269.22,Silver,16.54,4.5,576
106,Nike Fitness 3067,Nike,Sports,Fitness,Nike Fitness designed for high performance and everyday use. Premium quality with modern features.,1064.05,419.54,Blue,18.41,3.9,213
107,BenQ Monitor 2229,BenQ,Electronics,Monitor,BenQ Monitor designed for high performance and everyday use. Premium quality with modern features.,664.11,759.98,Silver,14.4,4.4,543
108,Packt Programming 2056,Packt,Books,Programming,Packt Programming designed for high performance and everyday use. Premium quality with modern features.,650.43,1056.61,White,7.17,3.5,936
109,Puma Shoes 3321,Puma,Fashion,Shoes,Puma Shoes designed for high performance and everyday use. Premium quality with modern features.,2106.3,465.44,Black,9.96,4.0,1922
110,Adidas Shoes 5424,Adidas,Fashion,Shoes,Adidas Shoes designed for high performance and everyday use. Premium quality with modern features.,2096.9,1613.99,Gray,14.93,3.6,843
111,Under Armour Fitness 1728,Under Armour,Sports,Fitness,Under Armour Fitness designed for high performance and everyday use. Premium quality with modern features.,2103.19,1575.84,Black,10.85,4.6,511
112,O'Reilly Programming 4397,O'Reilly,Books,Programming,O'Reilly Programming designed for high performance and everyday use. Premium quality with modern features.,1628.85,369.55,Silver,5.89,3.6,29
113,Manning Programming 1711,Manning,Books,Programming,Manning Programming designed for high performance and everyday use. Premium quality with modern features.,2158.07,1552.28,Red,12.82,4.5,232
114,KitchenAid Kitchen 4944,KitchenAid,Home,Kitchen,KitchenAid Kitchen designed for high performance and everyday use. Premium quality with modern features.,75.76,583.54,Silver,0.87,3.5,1920
115,Packt Programming 2083,Packt,Books,Programming,Packt Programming designed for high performance and everyday use. Premium quality with modern features.,1519.27,1374.74,Red,2.15,4.9,756
116,Zara Clothing 3279,Zara,Fashion,Clothing,Zara Clothing designed for high performance and everyday use. Premium quality with modern features.,600.66,140.92,White,15.43,4.3,1878
117,Zara Clothing 3902,Zara,Fashion,Clothing,Zara Clothing designed for high performance and everyday use. Premium quality with modern features.,1017.35,894.38,White,13.85,4.5,1439
118,O'Reilly Programming 582,O'Reilly,Books,Programming,O'Reilly Programming designed for high performance and everyday use. Premium quality with modern features.,1633.48,451.85,White,17.85,4.2,435
119,Manning Programming 7743,Manning,Books,Programming,Manning Programming designed for high performance and everyday use. Premium quality with modern features.,128.65,1231.6,Silver,18.94,4.6,834
120,OnePlus Phone 1621,OnePlus,Electronics,Phone,OnePlus Phone designed for high performance and everyday use. Premium quality with modern features.,935.76,1184.89,White,13.27,4.6,727
121,Sony Headphones 4289,Sony,Electronics,Headphones,Sony Headphones designed for high performance and everyday use. Premium quality with modern features.,291.04,587.19,Red,19.7,4.8,1624
122,Nike Shoes 4506,Nike,Fashion,Shoes,Nike Shoes designed for high performance and everyday use. Premium quality with modern features.,2081.21,1349.74,Silver,2.69,4.5,51
123,Dell Laptop 8753,Dell,Electronics,Laptop,Dell Laptop designed for high performance and everyday use. Premium quality with modern features.,711.23,1427.46,Gray,1.09,4.5,637
124,Nike Fitness 1029,Nike,Sports,Fitness,Nike Fitness designed for high performance and everyday use. Premium quality with modern features.,1434.93,1302.35,Black,3.65,3.5,1858
125,Levi's Clothing 639,Levi's,Fashion,Clothing,Levi's Clothing designed for high performance and everyday use. Premium quality with modern features.,1024.79,1208.51,Black,10.92,4.0,553
126,Puma Shoes 9458,Puma,Fashion,Shoes,Puma Shoes designed for high performance and everyday use. Premium quality with modern features.,390.6,632.69,Gray,13.47,3.8,15
127,Adidas Shoes 8866,Adidas,Fashion,Shoes,Adidas Shoes designed for high performance and everyday use. Premium quality with modern features.,501.22,922.54,Black,15.45,4.1,1062
128,Sony Headphones 8228,Sony,Electronics,Headphones,Sony Headphones designed for high performance and everyday use. Premium quality with modern features.,2441.96,1472.62,Gray,17.76,3.6,206
129,KitchenAid Kitchen 4189,KitchenAid,Home,Kitchen,KitchenAid Kitchen designed for high performance and everyday use. Premium quality with modern features.,850.73,1226.85,White,8.31,4.8,938
130,Bosch Kitchen 224,Bosch,Home,Kitchen,Bosch Kitchen designed for high performance and everyday use. Premium quality with modern features.,2337.39,1143.67,Blue,0.53,3.9,1089
131,Packt Programming 2214,Packt,Books,Programming,Packt Programming designed for high performance and everyday use. Premium quality with modern features.,1774.01,1563.79,Black,17.74,4.8,790
132,BenQ Monitor 9009,BenQ,Electronics,Monitor,BenQ Monitor designed for high performance and everyday use. Premium quality with modern features.,1926.32,1660.29,Silver,6.68,4.0,1426
133,Lenovo Laptop 7357,Lenovo,Electronics,Laptop,Lenovo Laptop designed for high performance and everyday use. Premium quality with modern features.,223.92,487.92,Blue,16.58,3.9,1172
134,Nike Fitness 4751,Nike,Sports,Fitness,Nike Fitness designed for high performance and everyday use. Premium quality with modern features.,675.29,1452.64,Gray,2.4,3.6,1415
135,Nike Fitness 1793,Nike,Sports,Fitness,Nike Fitness designed for high performance and everyday use. Premium quality with modern features.,2361.15,72.28,Silver,9.62,3.7,1048
136,Ashley Furniture 709,Ashley,Home,Furniture,Ashley Furniture designed for high performance and everyday use. Premium quality with modern features.,2499.7,1767.03,Gray,9.98,4.5,1606
137,Puma Shoes 7611,Puma,Fashion,Shoes,Puma Shoes designed for high performance and everyday use. Premium quality with modern features.,1940.95,15.34,Blue,1.21,4.1,1795
138,Adidas Fitness 5559,Adidas,Sports,Fitness,Adidas Fitness designed for high performance and everyday use. Premium quality with modern features.,1176.77,1227.53,White,9.83,4.1,314
139,IKEA Furniture 4270,IKEA,Home,Furniture,IKEA Furniture designed for high performance and everyday use. Premium quality with modern features.,264.54,490.86,Red,16.58,4.2,1053
140,H&M Clothing 8663,H&M,Fashion,Clothing,H&M Clothing designed for high performance and everyday use. Premium quality with modern features.,1351.79,787.33,Black,10.39,4.0,73
141,Adidas Fitness 9286,Adidas,Sports,Fitness,Adidas Fitness designed for high performance and everyday use. Premium quality with modern features.,1305.85,958.98,White,2.58,4.7,612
142,Nike Shoes 6804,Nike,Fashion,Shoes,Nike Shoes designed for high performance and everyday use. Premium quality with modern features.,2232.51,140.45,Silver,19.01,3.7,1661
143,O'Reilly Programming 2827,O'Reilly,Books,Programming,O'Reilly Programming designed for high performance and everyday use. Premium quality with modern features.,441.23,1035.46,White,6.4,3.7,1580
144,Philips Kitchen 6942,Philips,Home,Kitchen,Philips Kitchen designed for high performance and everyday use. Premium quality with modern features.,1567.18,1554.81,Silver,9.39,3.9,945
145,Ashley Furniture 6231,Ashley,Home,Furniture,Ashley Furniture designed for high performance and everyday use. Premium quality with modern features.,251.4,694.64,Black,17.78,4.1,1899
146,Adidas Fitness 7755,Adidas,Sports,Fitness,Adidas Fitness designed for high performance and everyday use. Premium quality with modern features.,2265.99,1182.48,White,4.37,4.4,851
147,KitchenAid Kitchen 9518,KitchenAid,Home,Kitchen,KitchenAid Kitchen designed for high performance and everyday use. Premium quality with modern features.,836.15,999.12,Red,15.19,3.9,712
148,Nike Fitness 3299,Nike,Sports,Fitness,Nike Fitness designed for high performance and everyday use. Premium quality with modern features.,593.04,787.1,Silver,5.9,3.6,354
149,Puma Shoes 9831,Puma,Fashion,Shoes,Puma Shoes designed for high performance and everyday use. Premium quality with modern features.,1580.01,356.65,Silver,0.7,3.6,1252
150,KitchenAid Kitchen 1144,KitchenAid,Home,Kitchen,KitchenAid Kitchen designed for high performance and everyday use. Premium quality with modern features.,2053.78,1315.72,Gray,6.34,3.7,49
151,Packt Programming 7601,Packt,Books,Programming,Packt Programming designed for high performance and everyday use. Premium quality with modern features.,849.24,384.5,Blue,15.77,3.8,1153
152,IKEA Furniture 5252,IKEA,Home,Furniture,IKEA Furniture designed for high performance and everyday use. Premium quality with modern features.,90.99,975.29,Gray,1.84,3.5,1108
153,Puma Shoes 7288,Puma,Fashion,Shoes,Puma Shoes designed for high performance and everyday use. Premium quality with modern features.,1247.26,424.55,Red,2.77,3.8,1017
154,Packt Programming 9669,Packt,Books,Programming,Packt Programming designed for high performance and everyday use. Premium quality with modern features.,1967.65,48.45,Silver,15.75,4.7,1460
155,Philips Kitchen 2256,Philips,Home,Kitchen,Philips Kitchen designed for high performance and everyday use. Premium quality with modern features.,76.61,664.29,Silver,6.19,3.9,1572
156,Steelcase Furniture 4551,Steelcase,Home,Furniture,Steelcase Furniture designed for high performance and everyday use. Premium quality with modern features.,1440.15,506.37,Red,9.08,3.7,527
157,IKEA Furniture 813,IKEA,Home,Furniture,IKEA Furniture designed for high performance and everyday use. Premium quality with modern features.,1720.16,1179.71,Black,12.58,3.6,1489
158,HP Laptop 8633,HP,Electronics,Laptop,HP Laptop designed for high performance and everyday use. Premium quality with modern features.,500.66,1642.51,Black,3.78,4.2,533
159,Manning Programming 6905,Manning,Books,Programming,Manning Programming designed for high performance and everyday use. Premium quality with modern features.,783.39,445.72,Silver,10.71,4.8,1582
160,Nike Fitness 7124,Nike,Sports,Fitness,Nike Fitness designed for high performance and everyday use. Premium quality with modern features.,1325.56,1623.51,Silver,0.53,3.8,534
161,Levi's Clothing 8455,Levi's,Fashion,Clothing,Levi's Clothing designed for high performance and everyday use. Premium quality with modern features.,899.22,1189.73,Silver,2.72,3.6,1558
162,OnePlus Phone 5042,OnePlus,Electronics,Phone,OnePlus Phone designed for high performance and everyday use. Premium quality with modern features.,1993.79,1787.72,White,17.38,4.5,780
163,Steelcase Furniture 9889,Steelcase,Home,Furniture,Steelcase Furniture designed for high performance and everyday use. Premium quality with modern features.,1193.14,1760.91,Red,7.43,3.9,1
164,Steelcase Furniture 7732,Steelcase,Home,Furniture,Steelcase Furniture designed for high performance and everyday use. Premium quality with modern features.,627.13,1017.94,Red,9.56,4.7,1115
165,Samsung Monitor 9656,Samsung,Electronics,Monitor,Samsung Monitor designed for high performance and everyday use. Premium quality with modern features.,476.57,1283.97,Silver,13.89,3.9,1152
166,Adidas Fitness 8181,Adidas,Sports,Fitness,Adidas Fitness designed for high performance and everyday use. Premium quality with modern features.,1177.79,194.64,Gray,3.83,4.9,1379
167,Adidas Fitness 2421,Adidas,Sports,Fitness,Adidas Fitness designed for high performance and everyday use. Premium quality with modern features.,1284.95,761.99,Red,18.75,4.1,681
168,Under Armour Fitness 4385,Under Armour,Sports,Fitness,Under Armour Fitness designed for high performance and everyday use. Premium quality with modern features.,129.44,21.34,Gray,8.06,3.6,1222
169,Nike Shoes 2898,Nike,Fashion,Shoes,Nike Shoes designed for high performance and everyday use. Premium quality with modern features.,234.33,293.1,White,1.01,4.3,1413
170,Nike Fitness 723,Nike,Sports,Fitness,Nike Fitness designed for high performance and everyday use. Premium quality with modern features.,1518.56,1240.81,Silver,19.69,4.0,1551
171,Under Armour Fitness 869,Under Armour,Sports,Fitness,Under Armour Fitness designed for high performance and everyday use. Premium quality with modern features.,571.0,870.64,Gray,15.42,4.7,1848
